TMS Pulse,Date,Time,M1 Location
95,11/5/2024,10:45:33.5 AM,Lp3
96,11/5/2024,10:45:36.1 AM,Lp3
97,11/5/2024,10:45:38.9 AM,Lp3
98,11/5/2024,10:45:40.3 AM,Lp3
99,11/5/2024,10:45:46.3 AM,Lp3
100,11/5/2024,10:45:48.6 AM,Lp3
101,11/5/2024,10:45:50.2 AM,Lp3
102,11/5/2024,10:46:00.7 AM,Lp3
103,11/5/2024,10:46:02.9 AM,Lp3
104,11/5/2024,10:46:04.9 AM,Lp3
105,11/5/2024,10:46:05.8 AM,Lp3
106,11/5/2024,10:46:13.2 AM,Lp3
107,11/5/2024,10:46:15.0 AM,Lp3
108,11/5/2024,10:46:16.8 AM,Lp3
109,11/5/2024,10:46:18.3 AM,Lp3
110,11/5/2024,10:46:19.9 AM,Lp3
111,11/5/2024,10:46:21.8 AM,Lp3
112,11/5/2024,10:46:23.8 AM,Lp3
113,11/5/2024,10:46:25.7 AM,Lp3
114,11/5/2024,10:46:26.6 AM,Lp3
115,11/5/2024,10:46:28.2 AM,Lp3
116,11/5/2024,10:47:12.6 AM,Ra1
117,11/5/2024,10:47:14.4 AM,Ra1
118,11/5/2024,10:47:16.3 AM,Ra1
119,11/5/2024,10:47:17.9 AM,Ra1
120,11/5/2024,10:47:19.5 AM,Ra1
121,11/5/2024,10:47:23.0 AM,Ra1
122,11/5/2024,10:47:25.7 AM,Ra1
123,11/5/2024,10:47:28.5 AM,Ra1
124,11/5/2024,10:47:34.0 AM,Ra1
125,11/5/2024,10:47:41.8 AM,Ra1
126,11/5/2024,10:47:44.1 AM,Ra1
127,11/5/2024,10:47:45.6 AM,Ra1
128,11/5/2024,10:47:47.3 AM,Ra1
129,11/5/2024,10:47:49.2 AM,Ra1
130,11/5/2024,10:47:50.9 AM,Ra1
131,11/5/2024,10:47:53.5 AM,Ra1
132,11/5/2024,10:47:55.3 AM,Ra1
133,11/5/2024,10:47:57.2 AM,Ra1
134,11/5/2024,10:47:58.9 AM,Ra1
135,11/5/2024,10:48:00.4 AM,Ra1
136,11/5/2024,10:48:02.1 AM,Ra1
137,11/5/2024,10:48:03.9 AM,Ra1
138,11/5/2024,10:48:05.5 AM,Ra1
139,11/5/2024,10:48:07.8 AM,Ra1
140,11/5/2024,10:48:11.1 AM,Ra1
141,11/5/2024,10:48:19.1 AM,Ra1
142,11/5/2024,10:48:21.5 AM,Ra1
143,11/5/2024,10:48:23.2 AM,Ra1
144,11/5/2024,10:48:26.5 AM,Ra1
145,11/5/2024,10:48:28.0 AM,Ra1
146,11/5/2024,10:48:29.3 AM,Ra1
147,11/5/2024,10:48:30.7 AM,Ra1
148,11/5/2024,10:48:31.9 AM,Ra1
149,11/5/2024,10:48:33.1 AM,Ra1
150,11/5/2024,10:48:34.3 AM,Ra1
151,11/5/2024,10:48:36.2 AM,Ra1
152,11/5/2024,10:49:03.6 AM,Ra1
153,11/5/2024,10:49:05.5 AM,Ra1
154,11/5/2024,10:49:08.9 AM,Ra1
155,11/5/2024,10:49:10.8 AM,Ra1
156,11/5/2024,10:49:12.6 AM,Ra1
157,11/5/2024,10:49:14.7 AM,Ra1
158,11/5/2024,10:49:21.0 AM,Ra1
159,11/5/2024,10:49:22.5 AM,Ra1
160,11/5/2024,10:49:24.3 AM,Ra1
161,11/5/2024,10:49:26.3 AM,Ra1
162,11/5/2024,10:49:28.2 AM,Ra1
163,11/5/2024,10:49:30.2 AM,Ra1
164,11/5/2024,10:49:32.2 AM,Ra1
165,11/5/2024,10:49:34.1 AM,Ra1
166,11/5/2024,10:49:36.5 AM,Ra1
167,11/5/2024,10:49:38.3 AM,Ra1
168,11/5/2024,10:49:39.9 AM,Ra1
169,11/5/2024,10:49:40.9 AM,Ra1
170,11/5/2024,10:49:41.9 AM,Ra1
171,11/5/2024,10:50:08.2 AM,Ra1
172,11/5/2024,10:50:10.1 AM,Ra1
173,11/5/2024,10:50:11.6 AM,Ra1
174,11/5/2024,10:50:13.2 AM,Ra1
175,11/5/2024,10:50:15.0 AM,Ra1
176,11/5/2024,10:50:17.2 AM,Ra1
177,11/5/2024,10:50:27.2 AM,Ra1
178,11/5/2024,10:50:28.9 AM,Ra1
179,11/5/2024,10:50:30.5 AM,Ra1
180,11/5/2024,10:50:33.9 AM,Ra1
181,11/5/2024,10:50:35.0 AM,Ra1
182,11/5/2024,10:50:36.4 AM,Ra1
183,11/5/2024,10:50:37.4 AM,Ra1
184,11/5/2024,10:50:39.2 AM,Ra1
185,11/5/2024,10:50:41.7 AM,Ra1
186,11/5/2024,10:50:43.8 AM,Ra1
187,11/5/2024,10:50:45.6 AM,Ra1
188,11/5/2024,10:50:47.2 AM,Ra1
189,11/5/2024,10:50:49.6 AM,Ra1
190,11/5/2024,10:50:51.3 AM,Ra1
191,11/5/2024,10:51:17.4 AM,Rm2
192,11/5/2024,10:51:22.6 AM,Rm2
193,11/5/2024,10:51:28.1 AM,Rm2
194,11/5/2024,10:51:44.5 AM,Rm2
195,11/5/2024,10:51:46.7 AM,Rm2
196,11/5/2024,10:51:48.1 AM,Rm2
197,11/5/2024,10:51:49.6 AM,Rm2
198,11/5/2024,10:52:02.8 AM,Rm2
199,11/5/2024,10:52:12.2 AM,Rm2
200,11/5/2024,10:52:13.6 AM,Rm2
201,11/5/2024,10:52:16.3 AM,Rm2
202,11/5/2024,10:52:20.7 AM,Rm2
203,11/5/2024,10:52:22.5 AM,Rm2
204,11/5/2024,10:52:25.1 AM,Rm2
205,11/5/2024,10:52:27.0 AM,Rm2
206,11/5/2024,10:52:29.4 AM,Rm2
207,11/5/2024,10:52:39.4 AM,Rm2
208,11/5/2024,10:52:41.8 AM,Rm2
209,11/5/2024,10:52:58.3 AM,Rm2
210,11/5/2024,10:53:00.7 AM,Rm2
211,11/5/2024,10:53:02.8 AM,Rm2
212,11/5/2024,10:53:04.9 AM,Rm2
213,11/5/2024,10:53:06.8 AM,Rm2
214,11/5/2024,10:53:09.1 AM,Rm2
215,11/5/2024,10:53:10.8 AM,Rm2
216,11/5/2024,10:53:36.3 AM,Rp3
217,11/5/2024,10:53:51.2 AM,Rp3
218,11/5/2024,10:53:52.3 AM,Rp3
219,11/5/2024,10:53:53.7 AM,Rp3
220,11/5/2024,10:53:54.7 AM,Rp3
221,11/5/2024,10:53:56.4 AM,Rp3
222,11/5/2024,10:53:57.6 AM,Rp3
223,11/5/2024,10:53:58.6 AM,Rp3
224,11/5/2024,10:54:00.0 AM,Rp3
225,11/5/2024,10:54:01.2 AM,Rp3
226,11/5/2024,10:54:02.2 AM,Rp3
227,11/5/2024,10:54:03.3 AM,Rp3
228,11/5/2024,10:54:04.4 AM,Rp3
229,11/5/2024,10:54:05.7 AM,Rp3
230,11/5/2024,10:54:07.0 AM,Rp3
231,11/5/2024,10:54:08.4 AM,Rp3
232,11/5/2024,10:54:09.6 AM,Rp3
233,11/5/2024,10:54:24.9 AM,Rp3
234,11/5/2024,10:54:26.2 AM,Rp3
235,11/5/2024,10:54:29.5 AM,Rp3
236,11/5/2024,10:54:32.0 AM,Rp3
237,11/5/2024,10:54:33.1 AM,Rp3
238,11/5/2024,10:54:34.3 AM,Rp3
239,11/5/2024,10:54:35.3 AM,Rp3
240,11/5/2024,10:54:36.5 AM,Rp3
241,11/5/2024,10:54:38.2 AM,Rp3
242,11/5/2024,10:54:39.8 AM,Rp3
243,11/5/2024,10:54:43.1 AM,Rp3
244,11/5/2024,10:54:52.1 AM,Rp3
245,11/5/2024,10:54:56.2 AM,Rp3
246,11/5/2024,10:55:01.8 AM,Rp3
247,11/5/2024,10:55:02.9 AM,Rp3
248,11/5/2024,10:55:10.1 AM,Rp3
249,11/5/2024,10:55:11.0 AM,Rp3
250,11/5/2024,10:55:22.1 AM,Rp3
251,11/5/2024,10:55:24.3 AM,Rp3
252,11/5/2024,10:55:29.7 AM,Rp3
253,11/5/2024,10:55:32.0 AM,Rp3
254,11/5/2024,10:55:33.9 AM,Rp3
255,11/5/2024,10:55:35.8 AM,Rp3
256,11/5/2024,10:55:46.4 AM,Rp3
257,11/5/2024,10:55:48.2 AM,Rp3
258,11/5/2024,10:55:49.7 AM,Rp3
259,11/5/2024,10:56:03.0 AM,Rp3
260,11/5/2024,10:56:04.9 AM,Rp3
261,11/5/2024,10:56:19.1 AM,Rp3
262,11/5/2024,10:56:23.9 AM,Rp3
263,11/5/2024,10:56:25.5 AM,Rp3
264,11/5/2024,10:56:30.5 AM,Rp3
265,11/5/2024,10:56:31.4 AM,Rp3
266,11/5/2024,10:56:38.8 AM,Rp3
267,11/5/2024,10:57:01.1 AM,Rp3
268,11/5/2024,10:57:03.4 AM,Rp3
269,11/5/2024,10:57:07.4 AM,Rp3
270,11/5/2024,10:57:21.9 AM,Rp3
271,11/5/2024,10:57:25.0 AM,Rp3
272,11/5/2024,10:57:27.5 AM,Rp3
273,11/5/2024,10:57:42.9 AM,Rp3
274,11/5/2024,10:57:44.1 AM,Rp3
275,11/5/2024,10:57:45.8 AM,Rp3
276,11/5/2024,10:57:47.9 AM,Rp3
277,11/5/2024,10:57:48.8 AM,Rp3
278,11/5/2024,10:57:50.4 AM,Rp3
279,11/5/2024,10:57:52.1 AM,Rp3
280,11/5/2024,10:57:53.5 AM,Rp3
281,11/5/2024,10:57:55.0 AM,Rp3
282,11/5/2024,10:57:56.8 AM,Rp3
283,11/5/2024,10:58:00.3 AM,Rp3
284,11/5/2024,10:58:02.4 AM,Rp3
285,11/5/2024,10:58:04.5 AM,Rp3
286,11/5/2024,10:58:07.0 AM,Rp3
287,11/5/2024,10:58:08.8 AM,Rp3
